ticker,revised_ticker,first_qualifying_date,hh_date,hh_price,pivot_kind,pullback_date,resistance_confirmed_date,suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AA,AA,2/23/2022,2/22/2022,80.08,HL,2/24/2022,2/28/2022,80.08,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,HL,2/11/2021,2/16/2021,19.75,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,LH,2/17/2021,2/19/2021,6.36,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,LH,2/26/2021,3/2/2021,5.64,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,HL,8/4/2008,8/6/2008,3.49,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,LH,8/5/2008,8/7/2008,3.41,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,HL,8/7/2008,8/11/2008,3.41,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,HL,8/13/2008,8/15/2008,3.69,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,LH,9/2/2008,9/4/2008,3.05,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,HL,9/8/2008,9/10/2008,3.05,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,LH,9/9/2008,9/11/2008,3,,,OK,
AAI^11,AAI,8/12/2008,9/16/2008,3.21,HL,9/17/2008,9/19/2008,3.21,,,OK,
AAI^11,AAI,11/4/2008,11/3/2008,4.42,HL,11/4/2008,11/6/2008,4.42,,,OK,
AAI^11,AAI,11/4/2008,11/3/2008,4.42,HL,11/13/2008,11/17/2008,4.42,,,OK,
AAI^11,AAI,11/4/2008,11/3/2008,4.42,LH,11/19/2008,11/21/2008,3.93,,,OK,
AAI^11,AAI,11/4/2008,11/3/2008,4.42,LH,11/28/2008,12/2/2008,3.45,,,OK,
AAI^11,AAI,11/4/2008,11/3/2008,4.42,HL,12/2/2008,12/4/2008,3.45,,,OK,
AAI^11,AAI,11/4/2008,12/9/2008,3.95,HL,12/12/2008,12/16/2008,3.95,,,OK,
AAI^11,AAI,4/1/2009,3/27/2009,4.93,HL,3/30/2009,4/1/2009,4.93,,,OK,
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAMRQ^13,AAMRQ,,,,,,,,,,no_daily_bars,FALSE
AAOI,AAOI,5/12/2017,5/12/2017,67.01,HL,5/18/2017,5/22/2017,67.01,,,OK,
AAOI,AAOI,5/12/2017,5/23/2017,71.7,HL,5/25/2017,5/30/2017,71.7,,,OK,
AAOI,AAOI,5/12/2017,6/6/2017,75.59,LH,6/19/2017,6/21/2017,65.23,,,OK,
AAOI,AAOI,5/22/2017,6/6/2017,75.59,LH,6/23/2017,6/27/2017,67.18,,,OK,
AAOI,AAOI,5/22/2017,6/6/2017,75.59,HL,6/28/2017,6/30/2017,67.18,,,OK,
AAOI,AAOI,5/22/2017,6/6/2017,75.59,LH,7/3/2017,7/6/2017,63.75,,,OK,
AAOI,AAOI,5/26/2017,6/6/2017,75.59,HL,7/6/2017,7/10/2017,63.75,,,OK,
AAOI,AAOI,7/28/2017,7/27/2017,103.41,HL,8/7/2017,8/9/2017,103.41,,,OK,
AAOI,AAOI,7/28/2017,7/27/2017,103.41,HL,8/10/2017,8/14/2017,103.41,,,OK,
AAOI,AAOI,7/28/2017,7/27/2017,103.41,LH,8/15/2017,8/17/2017,71.45,,,OK,
AAOI,AAOI,7/28/2017,7/27/2017,103.41,LH,8/24/2017,8/28/2017,64.9,,,OK,
AAOI,AAOI,7/28/2017,7/27/2017,103.41,LH,9/7/2017,9/11/2017,59.25,,,OK,
AAOI,AAOI,7/31/2017,7/27/2017,103.41,HL,9/8/2017,9/12/2017,59.25,,,OK,
AAOI,AAOI,7/6/2023,7/13/2023,11.48,HL,7/18/2023,7/20/2023,11.48,Y,,OK,
AAOI,AAOI,7/6/2023,7/13/2023,11.48,LH,7/25/2023,7/27/2023,9,,,OK,
AAOI,AAOI,7/10/2023,8/15/2023,15.9,HL,8/18/2023,8/22/2023,15.9,Y,,OK,
AAOI,AAOI,7/17/2023,8/24/2023,16.26,HL,8/28/2023,8/30/2023,16.26,Y,,OK,
AAOI,AAOI,7/25/2023,8/24/2023,16.26,LH,8/31/2023,9/5/2023,15.78,,,OK,
AAOI,AAOI,8/7/2023,8/24/2023,16.26,LH,9/18/2023,9/20/2023,10.24,,,OK,
AAOI,AAOI,8/30/2023,8/24/2023,16.26,HL,9/21/2023,9/25/2023,10.24,,,OK,
